field,value,status
artifact,"CA02-evidence-register",complete
version,1.1,complete
purpose,"Map archive functions to exact records, rights and transformation limits.",mapped
governing_question,"What proves archive use rather than archive possession?",mapped
source_ids_or_fields,"S21; S22; S35; MET-157996",mapped
claims_or_schema,"Retrieve; interpret; transform; cite",mapped
production_outputs,"Source matrix; rights decisions; metadata field map",mapped
release_gate,"SEC facts may be diagrammed; Google Arts & Culture remains link-only.",required
accessibility,"captions; transcripts; keyboard; visible labels",required
rights,"exact canonical record; item-level decision; transformation log",required
