field,value,status
artifact,"CO01-package-brief",complete
version,1.1,complete
purpose,"Build an educational name-control inventory without giving legal advice.",complete
governing_question,"Who owns the label name, marks, domains, handles, likeness and archive authority?",complete
source_ids_or_fields,"S28; S29; S30; S32",complete
claims_or_schema,"Distinct IP tools have distinct scope; identity assets require verified ownership",complete
included_outputs,"Flagship article; name-system diagram; five shorts; database walkthrough; counsel-prep inventory",complete
publication_discipline,"No legal conclusion, jurisdictional promise or copied WIPO assessment.",documented
accessibility,"captions; transcripts; keyboard; visible labels",complete
rights,"exact canonical record; item-level decision; transformation log",complete
