field,value,status
artifact,"series-editorial-standard",complete
version,1.1,complete
purpose,"Apply the Build–Carry–Control–Continue and evidence-label method to every package.",complete
governing_question,"Does the package expose institutional engineering rather than profile a celebrity?",complete
source_ids_or_fields,"VERIFIED; INFERENCE; PROPOSAL; UNRESOLVED",complete
claims_or_schema,"Question gate; evidence gate; rights gate; counterevidence; four-domain audit",complete
included_outputs,"Long; short; audio; video; interactive; education; source objects; corrections",complete
publication_discipline,"No package publishes without rights, accessibility, expert and version gates.",documented
accessibility,"captions; transcripts; keyboard; visible labels",complete
rights,"exact canonical record; item-level decision; transformation log",complete
